10.417833694741308 Q9JIS1 Q811U3 P09951 B5DFK6 P04177 P21708 P69736		GO:0005622 0.06123809979596167
5.025214481741498 O54857 P31016 P97836 O88382 P62630 P21708 P69736		GO:0005634 0.0055389823254367535
5.090524681136051 Q63226 Q63622 P97836 O88382 P62630 P21708 P69736		GO:0007267 0.004556139909182873
5.1574669349140505 P31422 Q9EP80 P35400 P05696 Q63369 P47196 O70437		GO:0016070 0.0015514323906696977
5.339839173264402 Q9JJ40 Q8K430 P31016 P05696 Q63369 P47196 O70437		GO:0048518 4.591649511352942E-5
5.42325618795047 O54857 P31016 Q8R4T5 O88382 P62630 P21708 P69736		GO:0005634 0.0055389823254367535
5.423739936739122 O54857 P31016 Q00959 O88382 P62630 P21708 P69736		GO:0005634 0.0055389823254367535
5.431452686138651 P15385 P31016 P97836 O88382 P62630 P21708 P69736		GO:0043234 0.011766426291525498
5.443668622195397 P31422 P97879 Q9EP80 P05696 Q63369 P47196 O70437		GO:0016070 0.0015514323906696977
5.575691673407523 P18614 P28572-2 P31016 P05696 Q63369 P47196 O70437		GO:0051716 0.0011799525546742327
5.579823910692434 P31422 P97879 P19491 P05696 Q63369 P47196 O70437		GO:0016070 0.0015514323906696977
5.586054460443069 P31422 Q9EP80 P19491 P05696 Q63369 P47196 O70437		GO:0016070 0.0015514323906696977
5.644439116006263 Q63226 Q63622 P31016 P05696 Q63369 P47196 O70437		GO:0048519 9.744975947283375E-5
5.719585853067592 P31422 Q9EP80 P19492 P05696 Q63369 P47196 O70437		GO:0016070 0.0015514323906696977
5.727604704273166 Q9JJ40 P97836 O88382 Q00961 P62260 P21708 P69736		GO:0008150 0.045541396148273745
5.7711576601989005 Q9JJ40 Q9QUH6 Q62936 P05696 Q63369 P47196 O70437		GO:0048518 4.591649511352942E-5
5.77145148581523 O54857 P31016 Q62765 O88382 P62630 P21708 P69736		GO:0005515 0.001958018453836358
5.829494392347622 P15385 P31016 Q8R4T5 O88382 P62630 P21708 P69736		GO:0043234 0.011766426291525498
5.829978141136275 P15385 P31016 Q00959 O88382 P62630 P21708 P69736		GO:0043234 0.011766426291525498
5.829978141136275 Q63226 P31016 Q00959 O88382 P62630 P21708 P69736		GO:0003674 0.0370262183191619
5.840946710071859 P31422 P97879 P19492 P05696 Q63369 P47196 O70437		GO:0016070 0.0015514323906696977
5.850200652208879 Q63226 Q62696 P31016 P05696 Q63369 P47196 O70437		GO:0048519 9.744975947283375E-5
5.85505842367362 O54857 P31016 Q00959 P11275 Q9Z1P2 P21708 P69736		GO:0005634 0.0055389823254367535
5.8752809347462245 O54857 P31016 Q62936 P05696 Q63369 P47196 O70437		GO:0016070 1.6557085428662422E-5
5.939135122072892 Q63226 Q63622 Q00959 O88382 P62630 P21708 P69736		GO:0065007 0.06420009682010515
5.939135122072892 Q63226 Q63622 Q62640 O88382 P62630 P21708 P69736		GO:0065007 0.06420009682010515
5.955566551142482 Q9JJ40 P35439 P31016 P05696 Q63369 P47196 O70437		GO:0048518 4.591649511352942E-5
5.985413948156215 P31422 P97879 P19493 P49185 Q9R237 P47196 O70437		GO:0016070 0.06499294500729925
6.0196759168829805 P31424 Q8R4T5 P97836 O88382 P62630 P21708 P69736		GO:0043233 0.06499294500729925
6.055444573866625 Q9JJ40 P31016 Q00959 O88382 P62630 P21708 P69736		GO:0005488 0.02067836928273835
6.174391183757836 P31424 Q8R4T5 P31016 Q6IN36 P47942 P21708 P69736		GO:0043233 0.06499294500729925
6.174391183757836 P31424 Q8R4T5 P31016 Q6IN36 Q4V7C7 P21708 P69736		GO:0043233 0.06499294500729925
6.1746245092094005 Q63226 Q62696 Q00959 O88382 P62630 P21708 P69736		GO:0065007 0.06420009682010515
6.177689690212382 P15385 P31016 Q62765 O88382 P62630 P21708 P69736		GO:0005488 0.0024212466092658285
6.177689690212382 Q63226 P31016 Q62765 O88382 P62630 P21708 P69736		GO:0003674 0.005280864220102698
6.261296628070773 P15385 P31016 Q00959 P11275 Q9Z1P2 P21708 P69736		GO:0043234 0.011766426291525498
6.261296628070773 Q63226 P31016 Q00959 P11275 Q9Z1P2 P21708 P69736		GO:0003674 0.0370262183191619
6.261296628070773 Q9JJ40 P97836 P31016 Q6IN36 P47942 P21708 P69736		GO:0008150 0.045541396148273745
6.261296628070773 Q9JJ40 P97836 P31016 Q6IN36 Q4V7C7 P21708 P69736		GO:0008150 0.045541396148273745
6.263046465754988 O54857 P31016 P70587 P11275 Q9Z1P2 P21708 P69736		GO:0005634 0.0055389823254367535
6.281519139143377 P15385 Q62936 P31016 P05696 Q63369 P47196 O70437		GO:0016070 0.0015514323906696977
6.281519139143377 Q63226 P31016 Q62936 P05696 Q63369 P47196 O70437		GO:0048519 9.744975947283375E-5
6.286227207704688 P31424 Q8R4T5 P97838 O88382 P62630 P21708 P69736		GO:0043233 0.06499294500729925
6.325072095069111 P31422 Q9JI92 P35400 P05696 Q63369 P47196 O70437		GO:0016070 0.0015514323906696977
6.370453609007389 Q63226 Q63622 Q00959 P11275 Q9Z1P2 P21708 P69736		GO:0065007 0.06420009682010515
